Process A [NEW] (arrival time 102 ms) 85 CPU bursts
0.[A1]CPUBurst: 1031ms
1.[A1]IOBurst: 4100ms
2.[A2]CPUBurst: 197ms
3.[A2]IOBurst: 4990ms
4.[A3]CPUBurst: 923ms
5.[A3]IOBurst: 18620ms
6.[A4]CPUBurst: 25ms
7.[A4]IOBurst: 6930ms
8.[A5]CPUBurst: 977ms
9.[A5]IOBurst: 8940ms
10.[A6]CPUBurst: 1095ms
11.[A6]IOBurst: 3390ms
12.[A7]CPUBurst: 117ms
13.[A7]IOBurst: 17130ms
14.[A8]CPUBurst: 533ms
15.[A8]IOBurst: 6220ms
16.[A9]CPUBurst: 274ms
17.[A9]IOBurst: 23570ms
18.[A10]CPUBurst: 562ms
19.[A10]IOBurst: 26370ms
20.[A11]CPUBurst: 2553ms
21.[A11]IOBurst: 1400ms
22.[A12]CPUBurst: 1023ms
23.[A12]IOBurst: 10140ms
24.[A13]CPUBurst: 319ms
25.[A13]IOBurst: 2380ms
26.[A14]CPUBurst: 1872ms
27.[A14]IOBurst: 13410ms
28.[A15]CPUBurst: 1788ms
29.[A15]IOBurst: 1500ms
30.[A16]CPUBurst: 313ms
31.[A16]IOBurst: 810ms
32.[A17]CPUBurst: 1135ms
33.[A17]IOBurst: 1500ms
34.[A18]CPUBurst: 1068ms
35.[A18]IOBurst: 770ms
36.[A19]CPUBurst: 447ms
37.[A19]IOBurst: 490ms
38.[A20]CPUBurst: 200ms
39.[A20]IOBurst: 11150ms
40.[A21]CPUBurst: 722ms
41.[A21]IOBurst: 8050ms
42.[A22]CPUBurst: 196ms
43.[A22]IOBurst: 7480ms
44.[A23]CPUBurst: 3198ms
45.[A23]IOBurst: 23580ms
46.[A24]CPUBurst: 687ms
47.[A24]IOBurst: 3230ms
48.[A25]CPUBurst: 1663ms
49.[A25]IOBurst: 6960ms
50.[A26]CPUBurst: 174ms
51.[A26]IOBurst: 780ms
52.[A27]CPUBurst: 2151ms
53.[A27]IOBurst: 2310ms
54.[A28]CPUBurst: 322ms
55.[A28]IOBurst: 9790ms
56.[A29]CPUBurst: 468ms
57.[A29]IOBurst: 2840ms
58.[A30]CPUBurst: 2475ms
59.[A30]IOBurst: 890ms
60.[A31]CPUBurst: 639ms
61.[A31]IOBurst: 6420ms
62.[A32]CPUBurst: 2457ms
63.[A32]IOBurst: 26620ms
64.[A33]CPUBurst: 184ms
65.[A33]IOBurst: 7480ms
66.[A34]CPUBurst: 141ms
67.[A34]IOBurst: 2840ms
68.[A35]CPUBurst: 2915ms
69.[A35]IOBurst: 5250ms
70.[A36]CPUBurst: 541ms
71.[A36]IOBurst: 14930ms
72.[A37]CPUBurst: 65ms
73.[A37]IOBurst: 15390ms
74.[A38]CPUBurst: 1213ms
75.[A38]IOBurst: 14320ms
76.[A39]CPUBurst: 676ms
77.[A39]IOBurst: 490ms
78.[A40]CPUBurst: 1128ms
79.[A40]IOBurst: 1770ms
80.[A41]CPUBurst: 229ms
81.[A41]IOBurst: 120ms
82.[A42]CPUBurst: 390ms
83.[A42]IOBurst: 18680ms
84.[A43]CPUBurst: 905ms
85.[A43]IOBurst: 3860ms
86.[A44]CPUBurst: 118ms
87.[A44]IOBurst: 660ms
88.[A45]CPUBurst: 179ms
89.[A45]IOBurst: 21900ms
90.[A46]CPUBurst: 513ms
91.[A46]IOBurst: 3130ms
92.[A47]CPUBurst: 469ms
93.[A47]IOBurst: 2160ms
94.[A48]CPUBurst: 2254ms
95.[A48]IOBurst: 14620ms
96.[A49]CPUBurst: 1566ms
97.[A49]IOBurst: 9170ms
98.[A50]CPUBurst: 73ms
99.[A50]IOBurst: 210ms
100.[A51]CPUBurst: 274ms
101.[A51]IOBurst: 6480ms
102.[A52]CPUBurst: 453ms
103.[A52]IOBurst: 1710ms
104.[A53]CPUBurst: 26ms
105.[A53]IOBurst: 4060ms
106.[A54]CPUBurst: 1006ms
107.[A54]IOBurst: 4780ms
108.[A55]CPUBurst: 2185ms
109.[A55]IOBurst: 1310ms
110.[A56]CPUBurst: 710ms
111.[A56]IOBurst: 26880ms
112.[A57]CPUBurst: 1325ms
113.[A57]IOBurst: 13570ms
114.[A58]CPUBurst: 1570ms
115.[A58]IOBurst: 13260ms
116.[A59]CPUBurst: 2181ms
117.[A59]IOBurst: 11030ms
118.[A60]CPUBurst: 56ms
119.[A60]IOBurst: 5570ms
120.[A61]CPUBurst: 3746ms
121.[A61]IOBurst: 11710ms
122.[A62]CPUBurst: 2259ms
123.[A62]IOBurst: 3180ms
124.[A63]CPUBurst: 162ms
125.[A63]IOBurst: 7400ms
126.[A64]CPUBurst: 1037ms
